Ticker,Mean,Median,Std Dev,Min,Max,Count
AMP,0.0007681786266348275,0.0011600498849896363,0.013489154852442528,-0.059093642471370625,0.12324861824800416,656
AME,-0.00014137185486446285,-0.00041831322622741854,0.010934486547584337,-0.03917649213005522,0.07577172297478482,656
AMGN,-0.00011572905099473779,-0.00036663017175304425,0.01387083407607968,-0.06492693838283285,0.08248109915483416,656
APH,0.0007146672382296141,0.001113680151075855,0.01462697248373278,-0.07330449649851545,0.10687404736247405,656
ADI,0.0004365987328470199,0.0008656032067181298,0.016799736079019828,-0.05943154554800324,0.18416140481203663,656
AON,0.0004206175151364533,0.0007586173472381777,0.010847303307833286,-0.05159093575199987,0.05223712950908242,656
APA,-0.001440580306057462,-0.0010004766404097956,0.023716183427656624,-0.11750503144745804,0.21792993872086555,656
APO,0.0009602981122150957,0.0012075421858338516,0.01883618849238393,-0.10014924006675614,0.15616560497219523,656
AAPL,0.001480809482109235,0.0008983836135245826,0.014099634641475131,-0.07648633643660765,0.1564408818417745,656
AMAT,0.0005998292329951662,0.00043949755365568105,0.019845492206450856,-0.10604637392375116,0.1555023430448456,656
APTV,-0.00023745101398122545,0.00020049329695337177,0.018500982877347045,-0.08970043964034426,0.11584985971190861,656
ACGL,0.00010690791303133791,0.0005153306557166982,0.014345026512046215,-0.06930169254195782,0.07572909656719416,656
ADM,-0.00021026442204640186,0.0001457661394594244,0.014426796921111606,-0.09124476694701701,0.0743161363535836,656
ANET,0.001625701657530489,0.0016738890552701851,0.021793025748374592,-0.08502097665852154,0.1399665391082067,656
AJG,0.00038149060868419393,0.0009343818572175854,0.01188499986184652,-0.06729112236474495,0.053691455531853796,656
AIZ,0.00020615334524505421,0.0003848630037321066,0.013552684639331538,-0.059353167328922075,0.09156643973135992,656
T,0.0012642962710677815,0.0017534732481825858,0.012299055105233478,-0.05683453118947342,0.06552818103783399,656
ATO,0.00031399616523706257,0.0009196406427331271,0.010538528740037722,-0.04317709964667142,0.061746180959214726,656
ADSK,0.0007554778236984206,0.0012052397897051284,0.014815028314262972,-0.05246322916494571,0.10689682775751114,656
ADP,0.00011614779367216248,0.0005839639480785894,0.010929699977922501,-0.06364939637450208,0.07097688079434426,656
AZO,0.0007327142489473899,0.0010261590120307397,0.012194851352281192,-0.04179479916526346,0.042498353655253236,656
AVB,4.494814630405591e-05,0.000609158126791187,0.01249096469156958,-0.056548084822615446,0.09246037938759863,656
AVY,0.00014219374197526585,0.00040914206372049506,0.012229447970167773,-0.061294106876148835,0.06900476977206575,656
AXON,0.0007815360707990124,0.0007534837656093535,0.021470650861937505,-0.15225716727120536,0.11699998643663194,656
